name,subclade,BEAST-set
ARI70582,F-clade,N
AQN75066,V-clade,N
AEI60070,V-clade,N
CRX62614,V-clade,N
ALZ43848,F-clade,N
ANK78256,V-clade,N
APG56672,F-clade,Y
APO40038,V-clade,N
ARB17237,V-clade,N
QID20794,V-clade,N
ADD74842,V-clade,N
ADG42757,V-clade,N
ADM33242,V-clade,N
AOZ81478,V-clade,N
ACV70368,V-clade,N
ADB89625,V-clade,N
ADD74374,V-clade,N
ADD98212,V-clade,N
ADF27393,V-clade,N
ADX96409,V-clade,N
AEB80479,V-clade,Y
AGC00374,F-clade,N
AGV74894,V-clade,N
AHH00806,F-clade,N
AJB43179,V-clade,N
CRK77023,V-clade,N
AKQ10799,V-clade,N
ALH26315,V-clade,N
ALH26530,V-clade,N
ANM90074,V-clade,N
ANM92912,V-clade,N
AQW43195,V-clade,N
ARI70484,F-clade,N
ATI22837,V-clade,N
QBF01631,V-clade,N
QBR86946,V-clade,Y
QIQ45116,V-clade,N
ACZ01954,V-clade,N
ADF85021,V-clade,N
ADJ37734,V-clade,N
ADM33291,V-clade,N
ADY70395,clade-split,Y
AFU09659,V-clade,N
AFX96782,V-clade,N
AGF37756,F-clade,N
AHB21019,F-clade,N
AHB23249,F-clade,N
AIE49594,V-clade,N
AKC44807,F-clade,N
AKQ09782,F-clade,N
ALJ53623,V-clade,N
ALX28974,V-clade,N
ANA11357,V-clade,N
ASK83473,V-clade,N
ATJ02448,F-clade,N
ATJ02583,F-clade,N
AVP08650,V-clade,N
AVP09035,V-clade,N
AWI42532,V-clade,N
AXB51098,V-clade,N
AZM94152,V-clade,N
QAY30901,F-clade,N
QBH71607,V-clade,N
QBM03697,V-clade,N
QBM12657,V-clade,N
QCH41751,V-clade,N
QCO71785,V-clade,N
QGM79215,V-clade,N
QHN73414,V-clade,N
QIV14569,V-clade,N
ACZ95841,V-clade,N
ADD22618,V-clade,N
ADD74662,V-clade,N
ADL32558,V-clade,N
ADV17314,V-clade,N
ADV74745,V-clade,N
AEW25431,V-clade,Y
AEZ01175,F-clade,Y
AFB70178,V-clade,N
AFK14158,V-clade,N
AGI52594,V-clade,Y
AHB21273,F-clade,N
AHB23087,F-clade,Y
AIE50425,V-clade,N
AIU46581,F-clade,N
AKE37177,V-clade,N
AKE37313,V-clade,N
AKJ82019,V-clade,N
AKM14957,V-clade,N
AKQ11514,V-clade,N
AKV57626,V-clade,N
AMB66927,V-clade,N
ANK57659,F-clade,Y
AOT87944,V-clade,N
APA16413,F-clade,N
ARH16624,V-clade,N
ARI68898,V-clade,N
ARI70267,V-clade,N
ART29537,V-clade,N
ATP61504,F-clade,N
ATY36421,V-clade,Y
AUT17498,V-clade,N
AVN84829,V-clade,N
AVP03557,V-clade,N
AVR41341,V-clade,N
AVZ44828,V-clade,N
AWV55164,V-clade,N
AWW19695,V-clade,N
AWX41731,V-clade,N
AWX61290,V-clade,N
AXS75305,F-clade,N
AZQ98587,V-clade,N
AZS61982,V-clade,N
QAB02225,V-clade,N
QAY27700,V-clade,N
QAY30805,V-clade,N
QBH70734,V-clade,N
QBO25629,F-clade,Y
QBX92340,V-clade,N
QBY34067,V-clade,N
QCF43044,V-clade,N
QCF60757,V-clade,N
QCW11475,V-clade,N
QCW18076,V-clade,N
QED55855,F-clade,N
QHI02374,V-clade,N
QIQ45798,V-clade,N
QJI52782,V-clade,N
AAB50974,clade-split,Y
BAH02171,clade-split,Y
ACQ76377,V-clade,N
ACR40392,V-clade,N
ACS92959,F-clade,N
ACY67012,F-clade,N
ACZ16284,V-clade,N
ACZ98192,V-clade,N
ACZ98462,V-clade,N
ADE29025,V-clade,N
ADJ81017,V-clade,N
ADM86403,V-clade,N
ADO12207,V-clade,N
ADU59779,V-clade,N
ADX96768,V-clade,N
ADY70235,clade-split,Y
AEJ82932,V-clade,N
AEK86016,F-clade,N
AEL89846,V-clade,N
AEO91881,F-clade,N
AFB70188,V-clade,N
BAM34280,V-clade,N
AFR75837,F-clade,Y
AFU09321,V-clade,N
AFU09361,V-clade,N
AGB99419,F-clade,N
ACT68191,V-clade,N
ADW93937,V-clade,Y
AGK62636,V-clade,N
AGS41609,F-clade,N
AGV74564,V-clade,N
AGV75081,V-clade,N
AHB22727,F-clade,N
AHJ02798,V-clade,N
AHL21291,V-clade,N
AHM98420,V-clade,N
AHX38323,F-clade,Y
AHX38624,F-clade,N
AHY84577,V-clade,N
AIC65570,V-clade,N
AII19004,V-clade,N
AIL94404,V-clade,N
AIM56759,V-clade,N
AIP92541,V-clade,N
AIT38345,V-clade,N
AJJ99709,V-clade,N
AKC44831,F-clade,N
AKJ84136,F-clade,N
AKJ84422,F-clade,N
AKM14614,F-clade,N
AKM15045,V-clade,Y
CRX62413,V-clade,N
AKQ10414,V-clade,N
AKV57441,F-clade,N
ALH21630,V-clade,N
ALH42353,V-clade,N
ALJ53940,V-clade,N
ALZ43200,F-clade,N
ALZ43518,V-clade,N
ALZ43552,F-clade,N
ALZ43642,F-clade,Y
ALZ43708,F-clade,Y
ALZ44403,F-clade,N
ALZ44565,F-clade,N
ALZ44669,F-clade,N
AMA65307,V-clade,N
AMB67001,V-clade,N
AMR58651,F-clade,Y
AMY16018,F-clade,N
AMY16099,clade-split,Y
ANE26668,V-clade,N
ANE27614,V-clade,N
ANJ78056,V-clade,N
ANM87874,V-clade,N
ANM88171,V-clade,N
ANM88743,V-clade,N
ANM89546,V-clade,N
ANM93209,V-clade,N
ANM93528,V-clade,N
ANM94727,V-clade,N
AOT88362,V-clade,N
AOT88428,V-clade,N
AOT93284,V-clade,N
APC58066,F-clade,N
APG56587,F-clade,N
AQN74658,V-clade,N
AQN75926,F-clade,N
ARB17248,V-clade,N
ARI68484,V-clade,N
ARI68629,V-clade,N
ARI70328,V-clade,N
ART29643,F-clade,N
ARX97173,F-clade,N
ASB32924,V-clade,N
ASF57992,V-clade,N
ASK82378,V-clade,N
ASZ79812,V-clade,N
ATI22791,V-clade,N
ATJ01882,F-clade,N
AUM61254,F-clade,N
AUN87036,V-clade,N
AVH77868,V-clade,N
AVL84815,V-clade,N
AVP08220,V-clade,N
AVP09310,V-clade,N
AVX29208,V-clade,N
AWC06710,V-clade,N
AWI42467,V-clade,N
AWW19655,V-clade,N
AWW21246,V-clade,N
AXB51142,V-clade,N
AXB51494,V-clade,N
AXS75363,V-clade,N
AYD79156,F-clade,N
BAJ14040,clade-split,Y
AZQ20370,F-clade,N
AZQ98440,V-clade,N
AZS61784,V-clade,N
QAY28019,V-clade,N
QBF66248,V-clade,N
QBF66778,V-clade,N
QBL96542,V-clade,N
QBM03532,V-clade,N
QBM04181,V-clade,N
QBM12167,V-clade,N
QBP37975,V-clade,N
QBX91620,V-clade,N
QBY34330,V-clade,N
QCF60992,F-clade,Y
QCG82863,V-clade,N
QCO89927,F-clade,N
QCQ19505,V-clade,N
QCW16562,V-clade,N
QCW17022,V-clade,N
QDE05767,V-clade,N
QDF81913,V-clade,N
QDK57147,V-clade,N
QFX66947,V-clade,N
QGH81425,V-clade,N
QGM78982,V-clade,N
QHX38481,V-clade,N
QIA57636,V-clade,N
QJB24155,F-clade,N
AAA51491,clade-split,Y
AAL87894,F-clade,N
ABQ41899,F-clade,Y
ACE78026,F-clade,N
